epoch,acc,loss,val_acc,val_loss
0,0.00099750368309052214,8.3405323370444755,0.0031979571984435797,7.560659340661787
1,0.030996787526600098,6.4486544176333664,0.05392752918287938,5.9781670525843991
2,0.18331559993452284,4.473933198405553,0.24080739299610895,4.2008697738907212
3,0.38183162137829429,3.1192928993442401,0.40028574902723735,2.9957649324654607
4,0.54019684072679652,2.238659197871629,0.531067607003891,2.2712293084493407
5,0.64118513668358157,1.7076014158846333,0.59969601167315179,1.8913773254197859
6,0.70695132182026521,1.3752680660113705,0.67185068093385214,1.5217377175384923
7,0.74989769192993938,1.1589141065017898,0.70798881322957197,1.3511442358623682
8,0.78658942088060935,0.97936604208581057,0.75711332684824906,1.1257853110244767
9,0.80658915125225072,0.88156973833166685,0.76787451361867709,1.0598629676530333
